Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0.10132928,0.02112695388,0.1735329777,0.1702618152,No
0.10149594,0.01498450432,0.1787040234,0.1700191051,No
0.1016626,0.008812427521,0.1832114458,0.1691781282,No
0.10182926,0.002621313091,0.1870462447,0.167737335,No
0.10199592,0.003578283824,0.1902007908,0.1656959802,No
0.10216258,0.009776130319,0.1926681101,0.1630533487,No
0.10232924,0.01596134342,0.1944414377,0.1598090678,No
0.1024959,0.0221219603,0.1955147237,0.1559643298,No
0.10266256,0.0282447841,0.1958825141,0.1515216976,No
0.10282922,0.03431494907,0.1955394447,0.146485284,No
0.10299588,0.0403155908,0.1944808066,0.1408614814,No
0.10316254,0.04622796178,0.1927030236,0.134659484,No
0.1033292,0.05203125626,0.1902034432,0.1278912872,No
0.10349586,0.05770231038,0.1869807541,0.1205723286,No
0.10366252,0.06321606785,0.1830357611,0.1127219871,No
0.10382918,0.06854549795,0.178371489,0.1043636799,No
0.10399584,0.07366181165,0.172993511,0.09552503377,No
0.1041625,0.07853539288,0.1669111848,0.0862383917,No
0.10432916,0.08313576132,0.1601373404,0.07654030621,No
0.10449582,0.08743153512,0.1526874602,0.06647094339,No
0.10466248,0.0913919583,0.1445816457,0.05607446656,No
0.10482914,0.09498710185,0.1358442158,0.04539870098,No
0.1049958,0.09818890691,0.1265047193,0.03449474275,No
0.10516246,0.1009715647,0.1165973321,0.02341628633,No
0.10532912,0.1033119634,0.1061609313,0.01221914683,No
0.10549578,0.1051904336,0.09523909539,0.0009606039384,No
0.10566244,0.1065910161,0.08387975395,0.01030129287,No
0.1058291,0.1075017154,0.07213453948,0.02150850557,No
0.10599576,0.1079149321,0.06005858257,0.03260375559,No
0.10616242,0.1078276858,0.04770990834,0.04353125021,No
0.10632908,0.1072415039,0.03514884785,0.05423710123,No
0.10649574,0.1061623767,0.02243731543,0.06467012316,No
0.1066624,0.1046006829,0.009638284333,0.07478222251,No
0.10682906,0.1025708541,0.003184997942,0.08452882618,No
0.10699572,0.1000919044,0.01596934721,0.09386969358,No
0.10716238,0.09718541056,0.02865297534,0.1027682498,No
0.10732904,0.09387484938,0.04117625952,0.1111917868,No
0.1074957,0.09018650651,0.05348157138,0.1191121116,No
0.10766236,0.08614807576,0.06551416218,0.1265049279,No
0.10782902,0.08178917319,0.07722236216,0.1333505958,No
0.10799568,0.07713985443,0.08855800331,0.1396332383,No
0.10816234,0.07222995907,0.09947673231,0.145340085,No
0.108329,0.06708925962,0.1099382639,0.1504621208,No
0.10849566,0.06174654886,0.119906351,0.1549928784,No
0.10866232,0.05622886866,0.1293487996,0.1589278877,No
0.10882898,0.05056162179,0.1382375062,0.1622647643,No
0.10899564,0.04476832971,0.1465480775,0.1650025547,No
0.1091623,0.03887019679,0.1542594731,0.1671407372,No
0.10932896,0.03288633749,0.1613537967,0.1686795652,No
0.10949562,0.0268337857,0.167816028,0.1696195602,No
0.10966228,0.02072756737,0.1736330986,0.169960916,No
0.10982894,0.01458170917,0.1787948906,0.1697051078,No
0.1099956,0.008407962508,0.1832917631,0.1688515693,No
0.11016226,0.002217053436,0.1871151328,0.1673991084,No
0.11032892,0.003980467562,0.1902576238,0.1653473973,No
0.11049558,0.01017432287,0.1927125007,0.1626959294,No
0.11066224,0.01635372266,0.1944732964,0.1594445854,No
0.1108289,0.02250678465,0.1955341399,0.1555946022,No
0.11099556,0.0286204759,0.1958897263,0.1511485875,No
0.11116222,0.0346800983,0.1955349445,0.1461107135,No
0.11132888,0.04066903517,0.19446522,0.1404873431,No
0.11149554,0.04656872898,0.1926771402,0.1342875659,No
0.1116622,0.05235855654,0.1901683211,0.1275233924,No
0.11182886,0.05801562965,0.1869374961,0.1202102378,No
0.11199552,0.06351502985,0.182985574,0.1123673692,No
0.11216218,0.06882992387,0.1783156991,0.1040180847,No
0.11232884,0.07393184304,0.1729336083,0.09518984705,No
0.1124955,0.07879132032,0.1668486446,0.08591483533,No
0.11266216,0.0833780542,0.160073638,0.07622939348,No
0.11282882,0.08766104281,0.1526242495,0.06617352366,No
0.11299548,0.09160974622,0.1445206553,0.05579125509,No
0.11316214,0.0951943472,0.1357871294,0.04513015971,No
0.1133288,0.0983871147,0.1264532208,0.03424110636,No
0.11349546,0.1011624411,0.116553098,0.02317760326,No
0.11366212,0.1034971625,0.1061254218,0.01199522894,No
0.11382878,0.1053717285,0.09521368146,0.0007510026917,No
0.11399544,0.1067703143,0.0838656351,0.01049724687,No
0.1141621,0.1076808572,0.07213273644,0.02169162035,No
0.11432876,0.1080958024,0.06006981432,0.03277518973,No
0.11449542,0.1080122963,0.04773482308,0.04369235784,No
0.11466208,0.1074316949,0.03518786281,0.05438936129,No
0.11482874,0.1063599363,0.02249065228,0.06481511146,No
0.1149954,0.1048074886,0.009705916047,0.07492177188,No
0.11516206,0.1027885377,0.003103282768,0.08466483653,No
0.11532872,0.1003218442,0.01587390527,0.09400397539,No
0.11549538,0.09742897004,0.02854442596,0.102902852,No
0.11566204,0.09413303435,0.04105544835,0.1113285869,No
0.1158287,0.09046000242,0.05334958062,0.1192528307,No
0.11599536,0.08643729985,0.06537233293,0.1266513616,No
0.11616202,0.08209432662,0.0770720914,0.1335044652,No
0.11632868,0.07746085525,0.08840084076,0.139795959,No
0.11649534,0.0725665316,0.09931441396,0.1455131471,No
0.116662,0.06744096428,0.109772563,0.1506468505,No
0.11682866,0.06211264431,0.1197389811,0.1551903486,No
0.11699532,0.05660847947,0.1291816235,0.1591390818,No
0.11716198,0.05095374212,0.1380723715,0.1624905467,No
0.11732864,0.04517171159,0.1463868916,0.1652435064,No
0.1174953,0.03928350657,0.1541040242,0.167397365,No
0.11766196,0.03330810741,0.1612059027,0.1689522862,No
0.11782862,0.02726241946,0.1676773727,0.1699085087,No
